"ВСП ""Фаховий коледж геологорозвідувальних технологій""",Природничо-технічне
"ВСП ""Фаховий коледж геологорозвідувальних технологій""",Геологорозвідувальне
"ВСП ""Фаховий коледж геологорозвідувальних технологій""",Геологічний музей
Навчально-науковий інститут високих технологій,Фізика і техніка напівпровідників
Навчально-науковий інститут високих технологій,Методи дослідження властивостей матеріалів та структур на їх основі
Навчально-науковий інститут високих технологій,Хіміко-біологічні методи дослідження матеріалів
Навчально-науковий інститут високих технологій,Технології та дослідження матеріалів і структур
Iнститут Управлiння державної охорони України,Центр організації освітнього процесу та наукової роботи
Iнститут Управлiння державної охорони України,Центр первинної та професійної підготовки
Iнститут Управлiння державної охорони України,Навчально-тренувальний центр “Млиново”
Iнститут Управлiння державної охорони України,Бібліотека
Навчально-науковий інститут журналістики,Інформаційно-обчислювальний сектор
Навчально-науковий інститут журналістики,Навчально-видавнича група
Навчально-науковий інститут журналістики,"Навчальна лабораторія кіно-, телемистецтва"
Навчально-науковий інститут журналістики,"Навчальна лабораторія ""Студія медіадизайну"""
Навчально-науковий інститут журналістики,Навчально-поліграфічний сектор
Навчально-науковий інститут журналістики,Радіостудія
Навчально-науковий інститут журналістики,Телевізійна студія
"Навчально-науковий центр ""Інститут біології та медицини""",Ботанічний сад імені академіка О.В. Фоміна
"Навчально-науковий центр ""Інститут біології та медицини""",Зоологічний музей
"Навчально-науковий центр ""Інститут біології та медицини""",Канівський природний заповідник
"Навчально-науковий центр ""Інститут біології та медицини""",Університетська клініка
"Навчально-науковий інститут ""Інститут геології""","НДЛ ""Мікропалеонтології та біостратиграфії"""
"Навчально-науковий інститут ""Інститут геології""","НДС ""Фізико-хімічних досліджень гірських порід"""
"Навчально-науковий інститут ""Інститут геології""",Геологічний музей
"Навчально-науковий інститут ""Інститут геології""",Інформаційно-обчислювальний сектор
Навчально-науковий інститут філології,Навчально-наукова лабораторія комп'ютерної лінгвістики
Навчально-науковий інститут філології,Навчальна лабораторія експериментальної фонетики
Навчально-науковий інститут філології,Навчально-наукова лабораторія шевченкознавства
Навчально-науковий інститут філології,Навчальна лабораторія методики викладання іноземних мов у вищій та середній школі
Навчально-науковий інститут філології,Навчальна лабораторія усної мови та ТЗН
Навчально-науковий інститут філології,Навчальна лабораторія методики викладання східних мов та інформатики
Навчально-науковий інститут філології,Навчальна лабораторія сучасних технологій усного перекладу
Навчально-науковий інститут філології,Навчально-методична лабораторія
Навчально-науковий інститут філології,Інформаційно-обчислювальний сектор
Навчально-науковий інститут філології,Всеукраїнський навчально-науковий центр шевченкознавства
Навчально-науковий інститут філології,Інститут Конфуція
Навчально-науковий інститут філології,Єгипетський центр арабської мови та культури
Навчально-науковий інститут філології,Турецький центр дослідження та інформації
Навчально-науковий інститут філології,Центр кримськотатарської мови і літератури
Навчально-науковий інститут філології,Французький центр
Навчально-науковий інститут філології,Центр англійської мови та інформації
Навчально-науковий інститут філології,Центр білоруської мови та культури
Навчально-науковий інститут філології,"Центр болгарської мови і літератури, історії та культури"
Навчально-науковий інститут філології,Центр мови гінді та індійської літератури
Навчально-науковий інститут філології,Центр елліністичних студій та грецької культури
Навчально-науковий інститут філології,Центр іраністики (перської мови та літератури)
Навчально-науковий інститут філології,Центр іспанської мови та культури
Навчально-науковий інститут філології,Центр італійської мови
Навчально-науковий інститут філології,Центр літературної творчості
Навчально-науковий інститут філології,Центр китайської літератури та викладання китайської мови
Навчально-науковий інститут філології,Центр корейської мови та літератури
Навчально-науковий інститут філології,Центр німецької мови
Навчально-науковий інститут філології,Центр польської мови та культури
Навчально-науковий інститут філології,Центр славістики
Навчально-науковий інститут філології,Центр фольклору та етнографії
Навчально-науковий інститут філології,Центр японської мови та літератури
Навчально-науковий інститут філології,Центр іноземних мов Київського національного університету імені Тараса Шевченка
Навчально-науковий інститут філології,Музей-кімната Олеся Гончара
Фізичний факультет,"НДЛ ""Електронно-оптичних процесів"""
Фізичний факультет,"НДЛ ""Спектроскопії конденсованого стану речовин"""
Фізичний факультет,"НДЛ ""Фізики космосу"""
Фізичний факультет,"НДЛ ""Фізики металів та кераміки"""
